73,1,0
83,1,1
112,3,0
123,3,1
193,3,0
224,3,1
332,4,0
339,4,1
405,1,0
415,1,1
515,4,0
522,4,1
569,2,0
582,2,1
642,1,0
655,1,1
716,4,0
724,4,1
798,1,0
811,1,1
894,0,0
909,0,1
995,3,0
1008,3,1
1136,0,0
1150,0,1
1234,1,0
1243,1,1
1337,2,0
1345,2,1
1430,3,0
1460,3,1
1521,3,0
1527,3,1
1645,4,0
1653,4,1
1733,0,0
1746,0,1
1863,1,0
1888,1,1
1986,1,0
1999,1,1
2183,2,0
2197,2,1
2303,2,0
2314,2,1
2372,4,0
2379,4,1
2400,0,0
2408,0,1
2431,4,0
2436,4,1
2511,1,0
2521,1,1
2578,1,0
2599,1,1
2655,2,0
2664,2,1
2740,2,0
2751,2,1
2789,0,0
2798,0,1
2840,0,0
2852,0,1
2902,1,0
2915,1,1
3000,5,
